saitama_key,old_hamamatsu_key,hamamatsu_key,fukuoka_key,tadami_key,iide_key,ishikawa_key,noto_key,nishi_awa_key,minabe_tanabe_key
1120301001,2213403013,2213406009,4013601002,,740802006,1620147006,1720213001,3620706002,3039103011
1120301025,2213403001,2213406003,4013601003,,740802007,1620147007,1720214003,3620706003,3039103012
1120301027,2213104001,2213405013,4013701011,,740802008,1620147010,1720704003,3620706004,
1120301002,2213406002,2213405014,4013701010,,740802009,1620147011,1720704004,3620706005,
1120301004,2213406004,2213405015,4013701002,,740802010,1620147012,1720704005,3620706006,
1120301003,2213406005,2213405016,4013701004,,740802011,1620147013,1720704006,3620706007,
1120301006,2213406006,2213405017,4013701003,,740802012,1620147014,1720702004,3620706008,
1120301011,2213406009,2213405018,4013701006,,740802013,1620147015,1720702014,3620706009,
1120301050,2213406003,2213402007,4013701005,,740802014,1620147016,1720702015,3620708001,
1120301052,2213405013,2213402008,4013701007,,620207008,1620147017,1720702016,3620706010,
1120301046,2213405014,2213402009,4013701001,,620207014,1620147018,1720702017,3620706011,
1120301062,2213405015,2213601006,4013701012,,620209011,1620149018,1720702018,3620707001,
1120301063,2213405016,2213402011,4013701008,,620209012,1620149025,1720702021,3620707002,
1120301060,2213405017,2213205006,4013701009,,620209013,1621008007,1720703005,3620707003,
1120301054,2213405018,2213404001,4013202002,,620211011,1621001008,1720702019,3620707004,
1120301056,2213402007,2213405011,4013202001,,620211012,1621001009,1720702020,3620707005,
1120301068,2213402008,2213205029,4013402008,,620211013,1621003001,1720702001,3620707006,
1120301067,2213402009,2213208008,4013402007,,620211019,1621003002,1720702002,3620707007,
